"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-01","Micrograms/cubic meter (LC)","None",24,100.0,6.033333,10.4,1,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-02","Micrograms/cubic meter (LC)","None",24,100.0,7.895833,20.3,22,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-03","Micrograms/cubic meter (LC)","None",24,100.0,12.05,20.8,18,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-04","Micrograms/cubic meter (LC)","None",24,100.0,14.808333,26.3,14,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-05","Micrograms/cubic meter (LC)","None",24,100.0,21.416667,34.7,15,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-06","Micrograms/cubic meter (LC)","None",24,100.0,10.654167,29.9,16,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-07","Micrograms/cubic meter (LC)","None",22,92.0,7.622727,16.1,16,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-08","Micrograms/cubic meter (LC)","None",24,100.0,13.025,31.8,20,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-09","Micrograms/cubic meter (LC)","None",24,100.0,11.870833,19.6,11,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-10","Micrograms/cubic meter (LC)","None",24,100.0,5.904167,9.7,19,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-11","Micrograms/cubic meter (LC)","None",24,100.0,7.666667,12.9,22,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-12","Micrograms/cubic meter (LC)","None",24,100.0,6.133333,10.4,22,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-13","Micrograms/cubic meter (LC)","None",24,100.0,5.345833,10.9,16,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-14","Micrograms/cubic meter (LC)","None",24,100.0,5.4125,9.5,14,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
"06","037","0016","88502",3,34.14435,-117.85036,"WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2021-01-15","Micrograms/cubic meter (LC)","None",24,100.0,5.5125,9.5,17,"","731","Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation","Glendora","840 LAUREL, GLENDORA","California","Los Angeles","Glendora","Los Angeles-Long Beach-Anaheim, CA","2022-03-08"
