"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-12-04 00:00:00,33.792,-118.175,10,2020-12-04 00:00:00,33.79236,-118.17533,10,966.1,291.8,288.9,0,360.3,36.7,4.2,4.2,NA,NA
"2",1,1,-1,2020-12-03 23:00:00,33.814,-118.16,11.7,2020-12-04 00:00:00,33.79236,-118.17533,10,965.6,291.1,288.2,0,368.7,36.8,4,4.1,NA,NA
"3",1,1,-2,2020-12-03 22:00:00,33.839,-118.122,16.7,2020-12-04 00:00:00,33.79236,-118.17533,10,963.8,290.5,287.4,0,376.5,36.6,3.8,3.8,NA,NA
"4",1,1,-3,2020-12-03 21:00:00,33.867,-118.06,26.1,2020-12-04 00:00:00,33.79236,-118.17533,10,961.1,289.9,286.6,0,382.8,36,3.6,3.6,NA,NA
"5",1,1,-4,2020-12-03 20:00:00,33.897,-117.97,41.6,2020-12-04 00:00:00,33.79236,-118.17533,10,957.4,289.2,285.6,0,386.6,35.1,3.3,3.3,NA,NA
"6",1,1,-5,2020-12-03 19:00:00,33.928,-117.847,65.5,2020-12-04 00:00:00,33.79236,-118.17533,10,952.8,288.5,284.5,0,387.3,33.7,2.9,3,NA,NA
"7",1,1,-6,2020-12-03 18:00:00,33.959,-117.688,99.8,2020-12-04 00:00:00,33.79236,-118.17533,10,945.8,287.9,283.3,0,383.7,31.5,2.6,2.6,NA,NA
"8",1,1,-7,2020-12-03 17:00:00,33.991,-117.5,139.3,2020-12-04 00:00:00,33.79236,-118.17533,10,936.2,288.3,282.9,0,363.4,28.2,2.2,2.3,NA,NA
"9",1,1,-8,2020-12-03 16:00:00,34.031,-117.3,176.4,2020-12-04 00:00:00,33.79236,-118.17533,10,930.5,288.6,282.7,0,349.1,26.5,2.1,2.1,NA,NA
"10",1,1,-9,2020-12-03 15:00:00,34.082,-117.09,210.3,2020-12-04 00:00:00,33.79236,-118.17533,10,924.7,288.8,282.4,0,332.6,25,2,2,NA,NA
"11",1,1,-10,2020-12-03 14:00:00,34.146,-116.87,242.2,2020-12-04 00:00:00,33.79236,-118.17533,10,918.4,289,282.1,0,313.9,23.5,1.8,1.8,NA,NA
"12",1,1,-11,2020-12-03 13:00:00,34.221,-116.639,273.4,2020-12-04 00:00:00,33.79236,-118.17533,10,912.1,289.2,281.6,0,293.1,22.4,1.7,1.7,NA,NA
"13",1,1,-12,2020-12-03 12:00:00,34.307,-116.395,305.2,2020-12-04 00:00:00,33.79236,-118.17533,10,905.5,289.3,281.1,0,270.3,21.6,1.6,1.6,NA,NA
"14",1,1,-13,2020-12-03 11:00:00,34.406,-116.133,338.8,2020-12-04 00:00:00,33.79236,-118.17533,10,898.9,289.3,280.6,0,277.2,22.8,1.6,1.6,NA,NA
"15",1,1,-14,2020-12-03 10:00:00,34.519,-115.847,374.7,2020-12-04 00:00:00,33.79236,-118.17533,10,891.7,289.3,279.9,0,288.3,24,1.6,1.6,NA,NA
"16",1,1,-15,2020-12-03 09:00:00,34.647,-115.528,413.9,2020-12-04 00:00:00,33.79236,-118.17533,10,882.9,289.2,279.1,0,303.9,25.3,1.6,1.7,NA,NA
"17",1,1,-16,2020-12-03 08:00:00,34.792,-115.168,457.6,2020-12-04 00:00:00,33.79236,-118.17533,10,873.3,289,278,0,324.1,26.8,1.6,1.6,NA,NA
"18",1,1,-17,2020-12-03 07:00:00,34.952,-114.76,506.3,2020-12-04 00:00:00,33.79236,-118.17533,10,861.5,288.7,276.6,0,350.4,29.5,1.7,1.7,NA,NA
"19",1,1,-18,2020-12-03 06:00:00,35.12,-114.314,558.8,2020-12-04 00:00:00,33.79236,-118.17533,10,847,288.6,275.2,0,364.3,32.7,1.7,1.7,NA,NA
"20",1,1,-19,2020-12-03 05:00:00,35.291,-113.881,615,2020-12-04 00:00:00,33.79236,-118.17533,10,832.8,289.5,274.7,0,378.9,33.2,1.7,1.7,NA,NA
"21",1,1,-20,2020-12-03 04:00:00,35.465,-113.501,673.8,2020-12-04 00:00:00,33.79236,-118.17533,10,818.6,290.4,274.2,0,387.7,33.1,1.7,1.7,NA,NA
"22",1,1,-21,2020-12-03 03:00:00,35.643,-113.166,734.3,2020-12-04 00:00:00,33.79236,-118.17533,10,805.7,291.1,273.6,0,396.9,33.5,1.6,1.6,NA,NA
"23",1,1,-22,2020-12-03 02:00:00,35.825,-112.866,797.1,2020-12-04 00:00:00,33.79236,-118.17533,10,793.6,291.6,272.9,0,411.3,34.6,1.6,1.6,NA,NA
"24",1,1,-23,2020-12-03 01:00:00,36.007,-112.589,863.6,2020-12-04 00:00:00,33.79236,-118.17533,10,782.3,291.9,272.1,0,434.9,36.8,1.7,1.7,NA,NA
"25",1,1,-24,2020-12-03 00:00:00,36.188,-112.328,934,2020-12-04 00:00:00,33.79236,-118.17533,10,768,292,270.8,0,536.3,40.6,1.7,1.7,NA,NA
"26",1,1,-25,2020-12-02 23:00:00,36.366,-112.07,1009.3,2020-12-04 00:00:00,33.79236,-118.17533,10,752.3,291.9,269,0,597.9,44.4,1.7,1.7,NA,NA
"27",1,1,-26,2020-12-02 22:00:00,36.54,-111.808,1090,2020-12-04 00:00:00,33.79236,-118.17533,10,737,291.8,267.4,0,637.8,48,1.6,1.6,NA,NA
"28",1,1,-27,2020-12-02 21:00:00,36.714,-111.546,1177.7,2020-12-04 00:00:00,33.79236,-118.17533,10,721.9,291.8,265.8,0,660.5,51.9,1.6,1.6,NA,NA
"29",1,1,-28,2020-12-02 20:00:00,36.892,-111.29,1273.6,2020-12-04 00:00:00,33.79236,-118.17533,10,706.3,292,264.3,0,670.8,55.1,1.5,1.5,NA,NA
"30",1,1,-29,2020-12-02 19:00:00,37.084,-111.045,1378.2,2020-12-04 00:00:00,33.79236,-118.17533,10,690.3,292.3,262.9,0,674.2,57.9,1.5,1.5,NA,NA
"31",1,1,-30,2020-12-02 18:00:00,37.295,-110.817,1492.4,2020-12-04 00:00:00,33.79236,-118.17533,10,674.3,292.7,261.5,0,677.7,61.2,1.4,1.4,NA,NA
"32",1,1,-31,2020-12-02 17:00:00,37.532,-110.601,1617.6,2020-12-04 00:00:00,33.79236,-118.17533,10,658.3,293.4,260.3,0,653,63,1.4,1.4,NA,NA
"33",1,1,-32,2020-12-02 16:00:00,37.805,-110.396,1753.6,2020-12-04 00:00:00,33.79236,-118.17533,10,643.3,294.4,259.5,0,567.3,59.9,1.3,1.3,NA,NA
"34",1,1,-33,2020-12-02 15:00:00,38.119,-110.202,1894.5,2020-12-04 00:00:00,33.79236,-118.17533,10,628.7,295.3,258.6,0,475.7,56.5,1.1,1.1,NA,NA
