"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-10-28 00:00:00,33.824,-118.189,10,2020-10-28 00:00:00,33.82376,-118.18921,10,960.3,295.1,291.6,0,671.5,33.5,4.6,4.6,NA,NA
"2",1,1,-1,2020-10-27 23:00:00,33.839,-118.264,11.3,2020-10-28 00:00:00,33.82376,-118.18921,10,961.3,294.5,291.1,0,664.1,34.4,4.6,4.6,NA,NA
"3",1,1,-2,2020-10-27 22:00:00,33.857,-118.316,12.7,2020-10-28 00:00:00,33.82376,-118.18921,10,961.9,294,290.7,0,659.2,35.1,4.5,4.6,NA,NA
"4",1,1,-3,2020-10-27 21:00:00,33.878,-118.345,14.4,2020-10-28 00:00:00,33.82376,-118.18921,10,962,293.5,290.2,0,656.6,35.6,4.5,4.5,NA,NA
"5",1,1,-4,2020-10-27 20:00:00,33.902,-118.351,16.2,2020-10-28 00:00:00,33.82376,-118.18921,10,961.7,293,289.7,0,655.9,35.9,4.3,4.4,NA,NA
"6",1,1,-5,2020-10-27 19:00:00,33.929,-118.333,18.2,2020-10-28 00:00:00,33.82376,-118.18921,10,961,292.5,289.2,0,656.8,35.8,4.2,4.2,NA,NA
"7",1,1,-6,2020-10-27 18:00:00,33.959,-118.29,20.4,2020-10-28 00:00:00,33.82376,-118.18921,10,959.7,292,288.6,0,659.1,35.4,4,4,NA,NA
"8",1,1,-7,2020-10-27 17:00:00,33.993,-118.235,22.8,2020-10-28 00:00:00,33.82376,-118.18921,10,957.4,291.5,287.9,0,617.3,37.2,4,4,NA,NA
"9",1,1,-8,2020-10-27 16:00:00,34.033,-118.184,25.9,2020-10-28 00:00:00,33.82376,-118.18921,10,955,291,287.2,0,572.3,39,4,4.1,NA,NA
"10",1,1,-9,2020-10-27 15:00:00,34.079,-118.135,29.8,2020-10-28 00:00:00,33.82376,-118.18921,10,952.3,290.5,286.4,0,524.3,40.8,4,4.1,NA,NA
"11",1,1,-10,2020-10-27 14:00:00,34.129,-118.091,34.5,2020-10-28 00:00:00,33.82376,-118.18921,10,949.6,289.9,285.7,0,473.3,42.6,4,4,NA,NA
"12",1,1,-11,2020-10-27 13:00:00,34.185,-118.049,40.3,2020-10-28 00:00:00,33.82376,-118.18921,10,946.7,289.4,284.8,0,419.4,44.4,4,4,NA,NA
"13",1,1,-12,2020-10-27 12:00:00,34.246,-118.012,47.3,2020-10-28 00:00:00,33.82376,-118.18921,10,943.6,288.7,284,0,362.8,46.1,3.9,3.9,NA,NA
"14",1,1,-13,2020-10-27 11:00:00,34.313,-117.981,55.6,2020-10-28 00:00:00,33.82376,-118.18921,10,940.7,288.7,283.6,0,364,45.7,3.8,3.8,NA,NA
"15",1,1,-14,2020-10-27 10:00:00,34.385,-117.955,65,2020-10-28 00:00:00,33.82376,-118.18921,10,937.8,288.6,283.3,0,362.3,45.3,3.7,3.7,NA,NA
"16",1,1,-15,2020-10-27 09:00:00,34.463,-117.935,75.9,2020-10-28 00:00:00,33.82376,-118.18921,10,934.5,288.5,283,0,357,45,3.6,3.6,NA,NA
"17",1,1,-16,2020-10-27 08:00:00,34.551,-117.919,89,2020-10-28 00:00:00,33.82376,-118.18921,10,930.4,288.5,282.6,0,347.3,44.3,3.5,3.5,NA,NA
"18",1,1,-17,2020-10-27 07:00:00,34.649,-117.906,105.1,2020-10-28 00:00:00,33.82376,-118.18921,10,925.7,288.5,282.2,0,332.1,43.7,3.4,3.4,NA,NA
"19",1,1,-18,2020-10-27 06:00:00,34.76,-117.894,124.8,2020-10-28 00:00:00,33.82376,-118.18921,10,920.5,288.6,281.8,0,310.4,43,3.2,3.3,NA,NA
"20",1,1,-19,2020-10-27 05:00:00,34.88,-117.881,148.2,2020-10-28 00:00:00,33.82376,-118.18921,10,914.4,289.6,282.3,0,386.9,37.5,2.9,3,NA,NA
"21",1,1,-20,2020-10-27 04:00:00,35.007,-117.866,175.1,2020-10-28 00:00:00,33.82376,-118.18921,10,907.9,290.7,282.8,0,468.6,32.1,2.6,2.6,NA,NA
"22",1,1,-21,2020-10-27 03:00:00,35.143,-117.847,205.3,2020-10-28 00:00:00,33.82376,-118.18921,10,899,291.8,283,0,583.6,26.9,2.3,2.3,NA,NA
"23",1,1,-22,2020-10-27 02:00:00,35.291,-117.819,239.6,2020-10-28 00:00:00,33.82376,-118.18921,10,888.4,292.9,283.1,0,703.8,22.1,1.9,1.9,NA,NA
"24",1,1,-23,2020-10-27 01:00:00,35.454,-117.781,278.4,2020-10-28 00:00:00,33.82376,-118.18921,10,876.8,293.9,283,0,830.6,18,1.5,1.5,NA,NA
"25",1,1,-24,2020-10-27 00:00:00,35.632,-117.733,321.8,2020-10-28 00:00:00,33.82376,-118.18921,10,864.2,294.9,282.7,0,965.9,14.4,1.2,1.2,NA,NA
"26",1,1,-25,2020-10-26 23:00:00,35.829,-117.669,372.3,2020-10-28 00:00:00,33.82376,-118.18921,10,851.1,293.8,280.5,0,939.5,14.7,1.1,1.1,NA,NA
"27",1,1,-26,2020-10-26 22:00:00,36.055,-117.584,434.1,2020-10-28 00:00:00,33.82376,-118.18921,10,833.9,292.9,277.9,0,890.4,14.7,0.9,0.9,NA,NA
"28",1,1,-27,2020-10-26 21:00:00,36.32,-117.474,510.9,2020-10-28 00:00:00,33.82376,-118.18921,10,813.8,292.1,275.3,0,810.5,14.8,0.8,0.8,NA,NA
"29",1,1,-28,2020-10-26 20:00:00,36.632,-117.334,603.9,2020-10-28 00:00:00,33.82376,-118.18921,10,792.5,291.6,272.7,0,685.5,15.4,0.7,0.7,NA,NA
"30",1,1,-29,2020-10-26 19:00:00,37,-117.152,713,2020-10-28 00:00:00,33.82376,-118.18921,10,766.4,291.7,270.3,0,512.2,16.5,0.7,0.7,NA,NA
"31",1,1,-30,2020-10-26 18:00:00,37.44,-116.905,840.9,2020-10-28 00:00:00,33.82376,-118.18921,10,736.8,292.2,267.8,0,288.4,19.4,0.7,0.7,NA,NA
"32",1,1,-31,2020-10-26 17:00:00,37.942,-116.599,997.4,2020-10-28 00:00:00,33.82376,-118.18921,10,718.8,292.3,265.9,0,303.8,18.8,0.6,0.6,NA,NA
"33",1,1,-32,2020-10-26 16:00:00,38.476,-116.257,1173.7,2020-10-28 00:00:00,33.82376,-118.18921,10,702.5,292.3,264.2,0,328.5,16.6,0.5,0.5,NA,NA
"34",1,1,-33,2020-10-26 15:00:00,39.024,-115.889,1354.5,2020-10-28 00:00:00,33.82376,-118.18921,10,686,292.2,262.3,0,340.5,15.4,0.4,0.4,NA,NA
"35",1,1,-34,2020-10-26 14:00:00,39.571,-115.498,1525.8,2020-10-28 00:00:00,33.82376,-118.18921,10,672.7,291.8,260.5,0,334.7,14.4,0.3,0.3,NA,NA
"36",1,1,-35,2020-10-26 13:00:00,40.111,-115.074,1683.1,2020-10-28 00:00:00,33.82376,-118.18921,10,662.1,291.3,258.9,0,303.1,13.2,0.3,0.3,NA,NA
"37",1,1,-36,2020-10-26 12:00:00,40.632,-114.645,1813.3,2020-10-28 00:00:00,33.82376,-118.18921,10,652.8,291.6,258.1,0,250,11.5,0.2,0.2,NA,NA
"38",1,1,-37,2020-10-26 11:00:00,41.12,-114.243,1911.4,2020-10-28 00:00:00,33.82376,-118.18921,10,645.2,292.1,257.7,0,253,11.2,0.2,0.2,NA,NA
"39",1,1,-38,2020-10-26 10:00:00,41.58,-113.851,1987.2,2020-10-28 00:00:00,33.82376,-118.18921,10,637.7,292.4,257.1,0,256.1,9.8,0.2,0.2,NA,NA
"40",2,1,0,2020-10-28 12:00:00,33.824,-118.189,10,2020-10-28 12:00:00,33.82376,-118.18921,10,961.6,289.9,286.6,0,311.9,63.1,6.3,6.3,NA,NA
"41",2,1,-1,2020-10-28 11:00:00,33.92,-118.203,10.9,2020-10-28 12:00:00,33.82376,-118.18921,10,959.6,289.8,286.4,0,304.2,62.8,6.1,6.2,NA,NA
"42",2,1,-2,2020-10-28 10:00:00,34.01,-118.221,11.8,2020-10-28 12:00:00,33.82376,-118.18921,10,957.9,289.8,286.2,0,297.1,62.3,6,6.1,NA,NA
"43",2,1,-3,2020-10-28 09:00:00,34.092,-118.245,12.7,2020-10-28 12:00:00,33.82376,-118.18921,10,956.4,289.8,286.1,0,290.6,61.8,5.9,6,NA,NA
"44",2,1,-4,2020-10-28 08:00:00,34.166,-118.273,13.7,2020-10-28 12:00:00,33.82376,-118.18921,10,955.2,289.8,286,0,284.8,61.2,5.9,5.9,NA,NA
"45",2,1,-5,2020-10-28 07:00:00,34.231,-118.307,14.6,2020-10-28 12:00:00,33.82376,-118.18921,10,954.3,289.8,286,0,279.5,60.6,5.8,5.9,NA,NA
"46",2,1,-6,2020-10-28 06:00:00,34.288,-118.345,15.5,2020-10-28 12:00:00,33.82376,-118.18921,10,953.8,289.9,286,0,274.7,60,5.8,5.8,NA,NA
"47",2,1,-7,2020-10-28 05:00:00,34.335,-118.391,16.5,2020-10-28 12:00:00,33.82376,-118.18921,10,953,290.9,286.8,0,332.3,55.2,5.6,5.7,NA,NA
