"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-09-16 00:00:00,34.137,-117.924,10,2020-09-16 00:00:00,34.1365,-117.92391,10,948.8,305.2,300.6,0,316.1,37.7,9,9.1,NA,NA
"2",1,1,-1,2020-09-15 23:00:00,34.112,-118.04,9.9,2020-09-16 00:00:00,34.1365,-117.92391,10,951.7,304.3,299.9,0,311.6,40.2,9.2,9.4,NA,NA
"3",1,1,-2,2020-09-15 22:00:00,34.096,-118.147,9.9,2020-09-16 00:00:00,34.1365,-117.92391,10,954.2,303.5,299.4,0,307.7,42.6,9.4,9.6,NA,NA
"4",1,1,-3,2020-09-15 21:00:00,34.088,-118.243,9.9,2020-09-16 00:00:00,34.1365,-117.92391,10,956.3,302.8,298.8,0,304.4,44.8,9.6,9.7,NA,NA
"5",1,1,-4,2020-09-15 20:00:00,34.087,-118.331,9.9,2020-09-16 00:00:00,34.1365,-117.92391,10,958.1,302.1,298.3,0,301.6,46.8,9.7,9.8,NA,NA
"6",1,1,-5,2020-09-15 19:00:00,34.09,-118.409,10,2020-09-16 00:00:00,34.1365,-117.92391,10,959.6,301.5,297.8,0,299.3,48.7,9.8,9.9,NA,NA
"7",1,1,-6,2020-09-15 18:00:00,34.099,-118.478,10.2,2020-09-16 00:00:00,34.1365,-117.92391,10,960.8,300.9,297.4,0,297.4,50.4,9.8,10,NA,NA
"8",1,1,-7,2020-09-15 17:00:00,34.115,-118.536,10.4,2020-09-16 00:00:00,34.1365,-117.92391,10,961.2,299.9,296.4,0,288.4,53.6,9.9,10,NA,NA
"9",1,1,-8,2020-09-15 16:00:00,34.141,-118.582,10.7,2020-09-16 00:00:00,34.1365,-117.92391,10,961.1,299,295.5,0,280.2,56.6,9.8,10,NA,NA
"10",1,1,-9,2020-09-15 15:00:00,34.176,-118.615,11,2020-09-16 00:00:00,34.1365,-117.92391,10,960.7,298.1,294.6,0,272.6,59.3,9.8,9.9,NA,NA
