"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-09-14 00:00:00,33.583,-117.072,10,2020-09-14 00:00:00,33.583018,-117.072202,10,950.9,304.7,300.3,0,360.1,34,8,8.1,NA,NA
"2",1,1,-1,2020-09-13 23:00:00,33.587,-117.177,10,2020-09-14 00:00:00,33.583018,-117.072202,10,951.4,304.2,299.8,0,349.8,35.7,8.1,8.2,NA,NA
"3",1,1,-2,2020-09-13 22:00:00,33.597,-117.27,9.9,2020-09-14 00:00:00,33.583018,-117.072202,10,951.8,303.7,299.4,0,348.3,37.3,8.3,8.4,NA,NA
"4",1,1,-3,2020-09-13 21:00:00,33.613,-117.351,9.8,2020-09-14 00:00:00,33.583018,-117.072202,10,952,303.4,299.1,0,355.3,38.7,8.4,8.6,NA,NA
"5",1,1,-4,2020-09-13 20:00:00,33.635,-117.418,9.7,2020-09-14 00:00:00,33.583018,-117.072202,10,951.9,303.1,298.8,0,370.2,39.9,8.6,8.7,NA,NA
"6",1,1,-5,2020-09-13 19:00:00,33.664,-117.471,9.6,2020-09-14 00:00:00,33.583018,-117.072202,10,951.6,302.9,298.6,0,392.4,40.9,8.7,8.8,NA,NA
"7",1,1,-6,2020-09-13 18:00:00,33.699,-117.509,9.4,2020-09-14 00:00:00,33.583018,-117.072202,10,951.2,302.8,298.4,0,421.5,41.8,8.8,8.9,NA,NA
"8",1,1,-7,2020-09-13 17:00:00,33.742,-117.534,9.2,2020-09-14 00:00:00,33.583018,-117.072202,10,950.2,301.6,297.2,0,396.4,46.8,9.1,9.3,NA,NA
"9",1,1,-8,2020-09-13 16:00:00,33.791,-117.551,9,2020-09-14 00:00:00,33.583018,-117.072202,10,948.9,300.5,296,0,371,51.4,9.3,9.5,NA,NA
"10",1,1,-9,2020-09-13 15:00:00,33.849,-117.558,8.9,2020-09-14 00:00:00,33.583018,-117.072202,10,947.2,299.4,294.8,0,344.5,55.8,9.4,9.6,NA,NA
"11",1,1,-10,2020-09-13 14:00:00,33.915,-117.556,8.8,2020-09-14 00:00:00,33.583018,-117.072202,10,945.1,298.4,293.5,0,316.2,59.9,9.4,9.5,NA,NA
"12",1,1,-11,2020-09-13 13:00:00,33.993,-117.544,8.7,2020-09-14 00:00:00,33.583018,-117.072202,10,942.6,297.3,292.3,0,285.1,63.8,9.3,9.4,NA,NA
"13",1,1,-12,2020-09-13 12:00:00,34.082,-117.52,8.7,2020-09-14 00:00:00,33.583018,-117.072202,10,939.6,296.3,291,0,250,67.3,9,9.2,NA,NA
"14",1,1,-13,2020-09-13 11:00:00,34.173,-117.491,8.6,2020-09-14 00:00:00,33.583018,-117.072202,10,936.9,296.8,291.3,0,250,64.9,8.9,9.1,NA,NA
"15",1,1,-14,2020-09-13 10:00:00,34.255,-117.47,8.6,2020-09-14 00:00:00,33.583018,-117.072202,10,934.9,297.4,291.7,0,250,62.7,8.8,9,NA,NA
"16",1,1,-15,2020-09-13 09:00:00,34.325,-117.456,8.5,2020-09-14 00:00:00,33.583018,-117.072202,10,933.1,298,292.1,0,250,60.8,8.8,8.9,NA,NA
