"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-09-13 00:00:00,34.01,-118.068,10,2020-09-13 00:00:00,34.01029,-118.0685,10,949.3,304.3,299.7,0,417,40.2,9.1,9.3,NA,NA
"2",1,1,-1,2020-09-12 23:00:00,34.021,-118.198,9.7,2020-09-13 00:00:00,34.01029,-118.0685,10,951.7,303.5,299.1,0,407.1,42.5,9.3,9.4,NA,NA
"3",1,1,-2,2020-09-12 22:00:00,34.041,-118.318,9.4,2020-09-13 00:00:00,34.01029,-118.0685,10,953.7,302.8,298.6,0,398.7,44.5,9.4,9.6,NA,NA
"4",1,1,-3,2020-09-12 21:00:00,34.071,-118.428,9.2,2020-09-13 00:00:00,34.01029,-118.0685,10,955.3,302.1,298.1,0,391.6,46.2,9.5,9.6,NA,NA
"5",1,1,-4,2020-09-12 20:00:00,34.11,-118.528,9,2020-09-13 00:00:00,34.01029,-118.0685,10,956.6,301.6,297.7,0,385.9,47.6,9.5,9.6,NA,NA
"6",1,1,-5,2020-09-12 19:00:00,34.158,-118.618,8.8,2020-09-13 00:00:00,34.01029,-118.0685,10,957.6,301.1,297.3,0,381.5,48.6,9.5,9.6,NA,NA
"7",1,1,-6,2020-09-12 18:00:00,34.217,-118.697,8.7,2020-09-13 00:00:00,34.01029,-118.0685,10,958.1,300.7,296.9,0,378.4,49.4,9.4,9.6,NA,NA
"8",1,1,-7,2020-09-12 17:00:00,34.282,-118.763,8.7,2020-09-13 00:00:00,34.01029,-118.0685,10,957.9,299.6,295.9,0,355.4,53,9.5,9.6,NA,NA
"9",1,1,-8,2020-09-12 16:00:00,34.35,-118.815,8.9,2020-09-13 00:00:00,34.01029,-118.0685,10,957.4,298.6,294.8,0,333.8,56.3,9.4,9.6,NA,NA
"10",1,1,-9,2020-09-12 15:00:00,34.42,-118.852,9.2,2020-09-13 00:00:00,34.01029,-118.0685,10,956.6,297.6,293.8,0,313.2,59.6,9.4,9.5,NA,NA
"11",1,1,-10,2020-09-12 14:00:00,34.491,-118.871,9.7,2020-09-13 00:00:00,34.01029,-118.0685,10,955.5,296.6,292.7,0,293,62.9,9.3,9.4,NA,NA
"12",1,1,-11,2020-09-12 13:00:00,34.564,-118.87,10.3,2020-09-13 00:00:00,34.01029,-118.0685,10,953.9,295.7,291.6,0,272.3,66.1,9.1,9.2,NA,NA
"13",1,1,-12,2020-09-12 12:00:00,34.639,-118.849,11.1,2020-09-13 00:00:00,34.01029,-118.0685,10,951.8,294.7,290.5,0,250,69.2,8.9,9,NA,NA
"14",1,1,-13,2020-09-12 11:00:00,34.713,-118.822,12,2020-09-13 00:00:00,34.01029,-118.0685,10,949.7,295,290.7,0,250,68.2,8.9,9,NA,NA
"15",1,1,-14,2020-09-12 10:00:00,34.781,-118.807,13,2020-09-13 00:00:00,34.01029,-118.0685,10,948,295.4,290.9,0,250,67.2,8.9,9,NA,NA
"16",1,1,-15,2020-09-12 09:00:00,34.843,-118.806,14,2020-09-13 00:00:00,34.01029,-118.0685,10,946.6,295.7,291.1,0,250,66.5,8.9,9,NA,NA
"17",1,1,-16,2020-09-12 08:00:00,34.898,-118.82,15.1,2020-09-13 00:00:00,34.01029,-118.0685,10,945.6,296,291.3,0,250,66,9,9.1,NA,NA
"18",1,1,-17,2020-09-12 07:00:00,34.947,-118.85,16.4,2020-09-13 00:00:00,34.01029,-118.0685,10,945.2,296.3,291.5,0,250,65.7,9.1,9.2,NA,NA
"19",1,1,-18,2020-09-12 06:00:00,34.99,-118.899,17.8,2020-09-13 00:00:00,34.01029,-118.0685,10,945.2,296.5,291.7,0,250,65.8,9.2,9.3,NA,NA
"20",1,1,-19,2020-09-12 05:00:00,35.023,-118.962,19.2,2020-09-13 00:00:00,34.01029,-118.0685,10,945.5,297.3,292.6,0,259.9,61.8,9.1,9.3,NA,NA
"21",1,1,-20,2020-09-12 04:00:00,35.044,-119.036,20.5,2020-09-13 00:00:00,34.01029,-118.0685,10,946.4,298.1,293.4,0,270,58.1,9,9.2,NA,NA
"22",1,1,-21,2020-09-12 03:00:00,35.053,-119.121,21.8,2020-09-13 00:00:00,34.01029,-118.0685,10,947.9,298.9,294.3,0,278.1,54.6,8.9,9.1,NA,NA
"23",1,1,-22,2020-09-12 02:00:00,35.049,-119.216,22.9,2020-09-13 00:00:00,34.01029,-118.0685,10,950,299.5,295.1,0,282.6,51.3,8.8,8.9,NA,NA
"24",1,1,-23,2020-09-12 01:00:00,35.033,-119.323,23.8,2020-09-13 00:00:00,34.01029,-118.0685,10,952.8,300,295.9,0,282.6,48.1,8.6,8.8,NA,NA
"25",1,1,-24,2020-09-12 00:00:00,35.004,-119.44,24.5,2020-09-13 00:00:00,34.01029,-118.0685,10,956.2,300.5,296.6,0,277.9,45.1,8.4,8.6,NA,NA
"26",1,1,-25,2020-09-11 23:00:00,34.976,-119.558,25.2,2020-09-13 00:00:00,34.01029,-118.0685,10,959.4,299.9,296.3,0,278.3,47,8.6,8.7,NA,NA
"27",1,1,-26,2020-09-11 22:00:00,34.962,-119.663,26.2,2020-09-13 00:00:00,34.01029,-118.0685,10,961.9,299.3,296,0,276.6,48.6,8.7,8.8,NA,NA
