"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2008-06-28 00:00:00,34.067,-118.227,10,2008-06-28 00:00:00,34.06659,-118.22688,10,951.5,301.5,297.1,0,304.3,39.1,7.6,7.7,NA,NA
"2",1,1,-1,2008-06-27 23:00:00,33.96,-118.377,8.1,2008-06-28 00:00:00,34.06659,-118.22688,10,956.6,300.3,296.4,0,317,42.8,7.9,8,NA,NA
"3",1,1,-2,2008-06-27 22:00:00,33.869,-118.5,6.1,2008-06-28 00:00:00,34.06659,-118.22688,10,960.8,299.4,295.9,0,327.8,45.9,8.2,8.3,NA,NA
"4",1,1,-3,2008-06-27 21:00:00,33.79,-118.598,4,2008-06-28 00:00:00,34.06659,-118.22688,10,964.3,298.7,295.5,0,337.3,48.5,8.4,8.5,NA,NA
"5",1,1,-4,2008-06-27 20:00:00,33.722,-118.672,1.9,2008-06-28 00:00:00,34.06659,-118.22688,10,967.1,298.2,295.2,0,346.3,50.5,8.6,8.7,NA,NA
"6",1,1,-5,2008-06-27 19:00:00,33.663,-118.723,0,2008-06-28 00:00:00,34.06659,-118.22688,10,969.3,297.8,295.1,0,355.6,51.9,8.7,8.8,NA,NA
"7",1,1,-6,2008-06-27 18:00:00,33.612,-118.753,0,2008-06-28 00:00:00,34.06659,-118.22688,10,970.9,297.6,295,0,365.8,52.9,8.8,8.9,NA,NA
"8",1,1,-7,2008-06-27 17:00:00,33.57,-118.774,0,2008-06-28 00:00:00,34.06659,-118.22688,10,971.6,296.4,293.8,0,343.4,57.6,8.9,9.1,NA,NA
"9",1,1,-8,2008-06-27 16:00:00,33.539,-118.797,0,2008-06-28 00:00:00,34.06659,-118.22688,10,972.1,295.2,292.7,0,322.4,62,9,9.1,NA,NA
"10",1,1,-9,2008-06-27 15:00:00,33.518,-118.822,0,2008-06-28 00:00:00,34.06659,-118.22688,10,972.4,294.1,291.7,0,302.7,66.3,9,9.1,NA,NA
"11",1,1,-10,2008-06-27 14:00:00,33.507,-118.85,0,2008-06-28 00:00:00,34.06659,-118.22688,10,972.5,293.1,290.7,0,284.1,70.3,9,9.1,NA,NA
"12",1,1,-11,2008-06-27 13:00:00,33.506,-118.88,0.2,2008-06-28 00:00:00,34.06659,-118.22688,10,972.5,292.1,289.7,0,266.6,74.2,8.9,9,NA,NA
"13",1,1,-12,2008-06-27 12:00:00,33.514,-118.911,1,2008-06-28 00:00:00,34.06659,-118.22688,10,972.4,291.2,288.8,0,250,77.8,8.8,8.9,NA,NA
"14",1,1,-13,2008-06-27 11:00:00,33.531,-118.951,2.1,2008-06-28 00:00:00,34.06659,-118.22688,10,972.7,291.2,288.8,0,250,77.6,8.8,8.9,NA,NA
"15",1,1,-14,2008-06-27 10:00:00,33.557,-119.006,3.2,2008-06-28 00:00:00,34.06659,-118.22688,10,973,291.2,288.9,0,250,77.4,8.8,8.9,NA,NA
"16",1,1,-15,2008-06-27 09:00:00,33.592,-119.075,4.4,2008-06-28 00:00:00,34.06659,-118.22688,10,973.5,291.2,288.9,0,250,77.3,8.8,8.9,NA,NA
"17",1,1,-16,2008-06-27 08:00:00,33.637,-119.159,5.5,2008-06-28 00:00:00,34.06659,-118.22688,10,974,291.1,288.9,0,250,77.3,8.8,8.9,NA,NA
"18",1,1,-17,2008-06-27 07:00:00,33.693,-119.257,6.7,2008-06-28 00:00:00,34.06659,-118.22688,10,974.5,291.1,288.9,0,250,77.5,8.8,8.9,NA,NA
"19",1,1,-18,2008-06-27 06:00:00,33.761,-119.37,7.8,2008-06-28 00:00:00,34.06659,-118.22688,10,975.1,291,288.8,0,250,77.8,8.8,8.9,NA,NA
"20",1,1,-19,2008-06-27 05:00:00,33.837,-119.498,8.7,2008-06-28 00:00:00,34.06659,-118.22688,10,975.9,291.5,289.5,0,250,75.8,8.9,9,NA,NA
"21",1,1,-20,2008-06-27 04:00:00,33.916,-119.643,8.8,2008-06-28 00:00:00,34.06659,-118.22688,10,977.1,292,290,0,250,74.1,9,9.2,NA,NA
"22",1,1,-21,2008-06-27 03:00:00,33.999,-119.807,8.4,2008-06-28 00:00:00,34.06659,-118.22688,10,978.5,292.4,290.6,0,250,72.4,9.1,9.3,NA,NA
"23",1,1,-22,2008-06-27 02:00:00,34.089,-119.991,7.2,2008-06-28 00:00:00,34.06659,-118.22688,10,980.4,292.8,291.1,0,250,70.9,9.2,9.3,NA,NA
"24",1,1,-23,2008-06-27 01:00:00,34.185,-120.197,5.6,2008-06-28 00:00:00,34.06659,-118.22688,10,982.3,293.1,291.5,0,250,68.8,9.2,9.3,NA,NA
"25",1,1,-24,2008-06-27 00:00:00,34.287,-120.426,3.5,2008-06-28 00:00:00,34.06659,-118.22688,10,984.7,293.2,291.9,0,250,67,9.1,9.2,NA,NA
"26",1,1,-25,2008-06-26 23:00:00,34.395,-120.662,1.5,2008-06-28 00:00:00,34.06659,-118.22688,10,987.6,292.6,291.5,0,250,67.7,8.9,9.1,NA,NA
"27",1,1,-26,2008-06-26 22:00:00,34.51,-120.886,0,2008-06-28 00:00:00,34.06659,-118.22688,10,990.6,291.9,291.1,0,250,68.7,8.8,8.9,NA,NA
"28",1,1,-27,2008-06-26 21:00:00,34.633,-121.099,0,2008-06-28 00:00:00,34.06659,-118.22688,10,993.6,291.3,290.7,0,250,69.8,8.7,8.8,NA,NA
"29",1,1,-28,2008-06-26 20:00:00,34.764,-121.299,0,2008-06-28 00:00:00,34.06659,-118.22688,10,996.7,290.6,290.3,0,250,71,8.6,8.7,NA,NA
"30",1,1,-29,2008-06-26 19:00:00,34.903,-121.486,0,2008-06-28 00:00:00,34.06659,-118.22688,10,999.8,290,289.9,0,250,72.3,8.5,8.7,NA,NA
"31",1,1,-30,2008-06-26 18:00:00,35.051,-121.659,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1002.3,289.5,289.6,0,250,73.4,8.5,8.6,NA,NA
"32",1,1,-31,2008-06-26 17:00:00,35.207,-121.828,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1003.7,288.9,289.1,0,250,75.1,8.4,8.5,NA,NA
"33",1,1,-32,2008-06-26 16:00:00,35.37,-122.007,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1005.4,288.3,288.7,0,250,76.4,8.3,8.4,NA,NA
"34",1,1,-33,2008-06-26 15:00:00,35.537,-122.195,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1007.8,287.6,288.2,0,250,77.4,8.1,8.2,NA,NA
"35",1,1,-34,2008-06-26 14:00:00,35.708,-122.391,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1010.6,287,287.8,0,250,78.3,8,8.1,NA,NA
"36",1,1,-35,2008-06-26 13:00:00,35.881,-122.597,0,2008-06-28 00:00:00,34.06659,-118.22688,10,1012,286.6,287.5,0,250,78.6,7.9,8,NA,NA
"37",1,1,-36,2008-06-26 12:00:00,36.06,-122.811,0.2,2008-06-28 00:00:00,34.06659,-118.22688,10,1011.2,286.4,287.3,0,250,78.4,7.7,7.8,NA,NA
"38",1,1,-37,2008-06-26 11:00:00,36.249,-123.033,0.5,2008-06-28 00:00:00,34.06659,-118.22688,10,1010.9,286.4,287.3,0,250,78.5,7.7,7.8,NA,NA
"39",1,1,-38,2008-06-26 10:00:00,36.45,-123.261,0.8,2008-06-28 00:00:00,34.06659,-118.22688,10,1011,286.4,287.3,0,250,78.7,7.7,7.8,NA,NA
"40",1,1,-39,2008-06-26 09:00:00,36.665,-123.497,1,2008-06-28 00:00:00,34.06659,-118.22688,10,1011.7,286.3,287.2,0,250,79,7.7,7.8,NA,NA
"41",1,1,-40,2008-06-26 08:00:00,36.897,-123.743,1.2,2008-06-28 00:00:00,34.06659,-118.22688,10,1012.8,286,287.1,0,250,79.5,7.7,7.8,NA,NA
"42",2,1,0,2008-06-28 12:00:00,34.067,-118.227,10,2008-06-28 12:00:00,34.06659,-118.22688,10,952.7,292.9,288.8,0,250,74.6,8.6,8.7,NA,NA
"43",2,1,-1,2008-06-28 11:00:00,34.111,-118.244,10,2008-06-28 12:00:00,34.06659,-118.22688,10,952,293.3,289.1,0,250,72.8,8.6,8.7,NA,NA
"44",2,1,-2,2008-06-28 10:00:00,34.147,-118.273,10,2008-06-28 12:00:00,34.06659,-118.22688,10,951.7,293.5,289.3,0,250,71.2,8.5,8.6,NA,NA
"45",2,1,-3,2008-06-28 09:00:00,34.173,-118.313,10,2008-06-28 12:00:00,34.06659,-118.22688,10,951.9,293.8,289.6,0,250,69.8,8.5,8.6,NA,NA
"46",2,1,-4,2008-06-28 08:00:00,34.19,-118.366,10.1,2008-06-28 12:00:00,34.06659,-118.22688,10,952.4,293.9,289.8,0,250,68.7,8.4,8.6,NA,NA
"47",2,1,-5,2008-06-28 07:00:00,34.196,-118.431,10.2,2008-06-28 12:00:00,34.06659,-118.22688,10,953.5,294,290,0,250,67.9,8.4,8.5,NA,NA
"48",2,1,-6,2008-06-28 06:00:00,34.193,-118.508,10.3,2008-06-28 12:00:00,34.06659,-118.22688,10,954.9,294,290.1,0,250,67.4,8.4,8.5,NA,NA
"49",2,1,-7,2008-06-28 05:00:00,34.175,-118.595,10.3,2008-06-28 12:00:00,34.06659,-118.22688,10,956.5,294.8,291,0,257.6,64.2,8.5,8.6,NA,NA
"50",2,1,-8,2008-06-28 04:00:00,34.14,-118.694,9.9,2008-06-28 12:00:00,34.06659,-118.22688,10,958.8,295.5,291.9,0,263.9,61.6,8.6,8.7,NA,NA
"51",2,1,-9,2008-06-28 03:00:00,34.09,-118.805,9,2008-06-28 12:00:00,34.06659,-118.22688,10,961.5,296,292.6,0,268.5,59.5,8.6,8.7,NA,NA
"52",2,1,-10,2008-06-28 02:00:00,34.027,-118.927,7.6,2008-06-28 12:00:00,34.06659,-118.22688,10,964.6,296.2,293.1,0,271.3,58,8.7,8.8,NA,NA
"53",2,1,-11,2008-06-28 01:00:00,33.954,-119.06,5.6,2008-06-28 12:00:00,34.06659,-118.22688,10,968,296.3,293.5,0,272.2,57.2,8.7,8.9,NA,NA
"54",2,1,-12,2008-06-28 00:00:00,33.873,-119.204,2.7,2008-06-28 12:00:00,34.06659,-118.22688,10,971.6,296.2,293.7,0,271.3,57.3,8.8,8.9,NA,NA
"55",2,1,-13,2008-06-27 23:00:00,33.795,-119.342,0,2008-06-28 12:00:00,34.06659,-118.22688,10,975.3,295.3,293.2,0,274.7,60.6,9,9.1,NA,NA
