"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2018-11-11 00:00:00,34.199,-118.533,10,2018-11-11 00:00:00,34.19925,-118.53276,10,954.7,295.7,291.7,0,392.4,36.7,5.1,5.1,NA,NA
"2",1,1,-1,2018-11-10 23:00:00,34.184,-118.657,9.8,2018-11-11 00:00:00,34.19925,-118.53276,10,957.5,295.2,291.5,0,365.4,38.8,5.3,5.3,NA,NA
"3",1,1,-2,2018-11-10 22:00:00,34.178,-118.756,9.7,2018-11-11 00:00:00,34.19925,-118.53276,10,959.8,294.8,291.3,0,343.3,40.4,5.4,5.5,NA,NA
"4",1,1,-3,2018-11-10 21:00:00,34.18,-118.831,9.7,2018-11-11 00:00:00,34.19925,-118.53276,10,961.5,294.4,291,0,325.4,41.6,5.5,5.5,NA,NA
"5",1,1,-4,2018-11-10 20:00:00,34.189,-118.882,9.9,2018-11-11 00:00:00,34.19925,-118.53276,10,962.6,294.1,290.8,0,310.6,42.3,5.5,5.6,NA,NA
"6",1,1,-5,2018-11-10 19:00:00,34.202,-118.908,10.2,2018-11-11 00:00:00,34.19925,-118.53276,10,963.1,293.8,290.6,0,297.9,42.8,5.5,5.5,NA,NA
"7",1,1,-6,2018-11-10 18:00:00,34.221,-118.909,10.7,2018-11-11 00:00:00,34.19925,-118.53276,10,963,293.6,290.4,0,286.5,42.9,5.4,5.5,NA,NA
"8",1,1,-7,2018-11-10 17:00:00,34.246,-118.892,11.4,2018-11-11 00:00:00,34.19925,-118.53276,10,961.8,293,289.7,0,281.4,42.6,5.2,5.2,NA,NA
"9",1,1,-8,2018-11-10 16:00:00,34.281,-118.862,12.3,2018-11-11 00:00:00,34.19925,-118.53276,10,960.2,292.4,289,0,276.3,42,4.9,4.9,NA,NA
"10",1,1,-9,2018-11-10 15:00:00,34.325,-118.82,13.4,2018-11-11 00:00:00,34.19925,-118.53276,10,958.1,291.8,288.2,0,271,41.2,4.6,4.6,NA,NA
"11",1,1,-10,2018-11-10 14:00:00,34.38,-118.764,14.8,2018-11-11 00:00:00,34.19925,-118.53276,10,955.6,291.2,287.4,0,265.1,40.1,4.2,4.2,NA,NA
"12",1,1,-11,2018-11-10 13:00:00,34.444,-118.693,16.5,2018-11-11 00:00:00,34.19925,-118.53276,10,952.4,290.4,286.4,0,258.2,38.8,3.8,3.9,NA,NA
"13",1,1,-12,2018-11-10 12:00:00,34.521,-118.605,18.4,2018-11-11 00:00:00,34.19925,-118.53276,10,948.7,289.6,285.3,0,250,37.2,3.4,3.4,NA,NA
"14",1,1,-13,2018-11-10 11:00:00,34.605,-118.505,20.5,2018-11-11 00:00:00,34.19925,-118.53276,10,945.1,289.5,284.8,0,251.4,34.5,3.1,3.1,NA,NA
