"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-09-16 00:00:00,34.031,-117.617,10,2020-09-16 00:00:00,34.030833,-117.61722,10,946.2,306.1,301.2,0,321,35.1,8.7,8.9,NA,NA
"2",1,1,-1,2020-09-15 23:00:00,34.007,-117.734,10,2020-09-16 00:00:00,34.030833,-117.61722,10,949,305.2,300.6,0,316.5,37.7,9,9.2,NA,NA
"3",1,1,-2,2020-09-15 22:00:00,33.991,-117.84,10,2020-09-16 00:00:00,34.030833,-117.61722,10,951.5,304.4,300,0,312.8,40.2,9.3,9.4,NA,NA
"4",1,1,-3,2020-09-15 21:00:00,33.982,-117.935,10.1,2020-09-16 00:00:00,34.030833,-117.61722,10,953.5,303.6,299.4,0,309.6,42.4,9.4,9.6,NA,NA
"5",1,1,-4,2020-09-15 20:00:00,33.979,-118.019,10.2,2020-09-16 00:00:00,34.030833,-117.61722,10,955.2,303,298.9,0,307.1,44.5,9.6,9.7,NA,NA
"6",1,1,-5,2020-09-15 19:00:00,33.98,-118.093,10.3,2020-09-16 00:00:00,34.030833,-117.61722,10,956.7,302.4,298.4,0,305,46.3,9.7,9.8,NA,NA
"7",1,1,-6,2020-09-15 18:00:00,33.986,-118.157,10.5,2020-09-16 00:00:00,34.030833,-117.61722,10,957.8,301.8,298,0,303.4,48,9.8,9.9,NA,NA
"8",1,1,-7,2020-09-15 17:00:00,34,-118.21,10.8,2020-09-16 00:00:00,34.030833,-117.61722,10,958.2,300.8,297,0,293.6,51.4,9.8,10,NA,NA
"9",1,1,-8,2020-09-15 16:00:00,34.023,-118.25,11.1,2020-09-16 00:00:00,34.030833,-117.61722,10,958,299.8,296.1,0,284.6,54.4,9.8,10,NA,NA
"10",1,1,-9,2020-09-15 15:00:00,34.055,-118.277,11.4,2020-09-16 00:00:00,34.030833,-117.61722,10,957.5,299,295.2,0,276.1,57.2,9.8,10,NA,NA
"11",1,1,-10,2020-09-15 14:00:00,34.097,-118.29,11.8,2020-09-16 00:00:00,34.030833,-117.61722,10,956.5,298.1,294.3,0,267.7,59.8,9.7,9.9,NA,NA
"12",1,1,-11,2020-09-15 13:00:00,34.148,-118.288,12.2,2020-09-16 00:00:00,34.030833,-117.61722,10,955,297.4,293.4,0,259.2,62.2,9.6,9.7,NA,NA
"13",1,1,-12,2020-09-15 12:00:00,34.211,-118.27,12.7,2020-09-16 00:00:00,34.030833,-117.61722,10,953,296.6,292.5,0,250,64.5,9.4,9.5,NA,NA
"14",1,1,-13,2020-09-15 11:00:00,34.278,-118.248,13.1,2020-09-16 00:00:00,34.030833,-117.61722,10,951,297.1,292.7,0,250,63.3,9.4,9.5,NA,NA
