"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-09-15 00:00:00,33.901,-118.205,10,2020-09-15 00:00:00,33.901389,-118.205,10,957.5,303.5,299.7,0,299.2,41.5,9.3,9.5,NA,NA
"2",1,1,-1,2020-09-14 23:00:00,33.895,-118.34,9.6,2020-09-15 00:00:00,33.901389,-118.205,10,960.1,302.7,299.1,0,309.8,43.9,9.5,9.6,NA,NA
"3",1,1,-2,2020-09-14 22:00:00,33.899,-118.465,9.2,2020-09-15 00:00:00,33.901389,-118.205,10,962.2,301.9,298.5,0,319,46.1,9.6,9.8,NA,NA
"4",1,1,-3,2020-09-14 21:00:00,33.912,-118.581,8.8,2020-09-15 00:00:00,33.901389,-118.205,10,964,301.2,297.9,0,327,48.2,9.7,9.9,NA,NA
"5",1,1,-4,2020-09-14 20:00:00,33.934,-118.686,8.4,2020-09-15 00:00:00,33.901389,-118.205,10,965.5,300.5,297.4,0,334.3,50.2,9.8,9.9,NA,NA
"6",1,1,-5,2020-09-14 19:00:00,33.964,-118.782,8,2020-09-15 00:00:00,33.901389,-118.205,10,966.6,300,297,0,341,51.9,9.8,10,NA,NA
"7",1,1,-6,2020-09-14 18:00:00,34.001,-118.866,7.6,2020-09-15 00:00:00,33.901389,-118.205,10,967.4,299.5,296.5,0,347.6,53.5,9.9,10,NA,NA
"8",1,1,-7,2020-09-14 17:00:00,34.042,-118.939,7.2,2020-09-15 00:00:00,33.901389,-118.205,10,967.3,298.4,295.5,0,328.2,57.1,9.9,10,NA,NA
"9",1,1,-8,2020-09-14 16:00:00,34.087,-119.001,6.9,2020-09-15 00:00:00,33.901389,-118.205,10,967,297.4,294.5,0,310.6,60.6,9.9,10,NA,NA
"10",1,1,-9,2020-09-14 15:00:00,34.135,-119.051,6.7,2020-09-15 00:00:00,33.901389,-118.205,10,966.5,296.5,293.6,0,294.5,63.9,9.8,10,NA,NA
"11",1,1,-10,2020-09-14 14:00:00,34.186,-119.087,6.6,2020-09-15 00:00:00,33.901389,-118.205,10,965.7,295.6,292.6,0,279.4,67.1,9.7,9.9,NA,NA
"12",1,1,-11,2020-09-14 13:00:00,34.24,-119.109,6.5,2020-09-15 00:00:00,33.901389,-118.205,10,964.7,294.7,291.6,0,264.8,70.2,9.6,9.7,NA,NA
"13",1,1,-12,2020-09-14 12:00:00,34.297,-119.115,6.5,2020-09-15 00:00:00,33.901389,-118.205,10,963.3,293.9,290.7,0,250,73.1,9.4,9.5,NA,NA
"14",1,1,-13,2020-09-14 11:00:00,34.357,-119.116,6.5,2020-09-15 00:00:00,33.901389,-118.205,10,962.4,294.2,291,0,250,71.3,9.3,9.5,NA,NA
"15",1,1,-14,2020-09-14 10:00:00,34.421,-119.123,6.6,2020-09-15 00:00:00,33.901389,-118.205,10,961.6,294.6,291.3,0,250,69.4,9.3,9.4,NA,NA
"16",1,1,-15,2020-09-14 09:00:00,34.489,-119.138,6.7,2020-09-15 00:00:00,33.901389,-118.205,10,960.9,295,291.6,0,250,67.5,9.2,9.4,NA,NA
"17",1,1,-16,2020-09-14 08:00:00,34.56,-119.162,6.9,2020-09-15 00:00:00,33.901389,-118.205,10,960.3,295.4,292,0,250,65.7,9.2,9.3,NA,NA
"18",1,1,-17,2020-09-14 07:00:00,34.635,-119.195,7.1,2020-09-15 00:00:00,33.901389,-118.205,10,959.9,295.8,292.3,0,250,63.8,9.1,9.3,NA,NA
"19",1,1,-18,2020-09-14 06:00:00,34.713,-119.238,7.3,2020-09-15 00:00:00,33.901389,-118.205,10,959.7,296.2,292.7,0,250,61.9,9.1,9.2,NA,NA
"20",1,1,-19,2020-09-14 05:00:00,34.784,-119.294,7.4,2020-09-15 00:00:00,33.901389,-118.205,10,959.2,296.9,293.3,0,250,59.1,9,9.1,NA,NA
"21",1,1,-20,2020-09-14 04:00:00,34.835,-119.366,7.4,2020-09-15 00:00:00,33.901389,-118.205,10,959.3,297.5,293.9,0,250,56.6,8.9,9.1,NA,NA
"22",1,1,-21,2020-09-14 03:00:00,34.869,-119.454,7.4,2020-09-15 00:00:00,33.901389,-118.205,10,960.1,297.9,294.4,0,250,54.4,8.9,9,NA,NA
"23",1,1,-22,2020-09-14 02:00:00,34.885,-119.562,7.2,2020-09-15 00:00:00,33.901389,-118.205,10,961.6,298.2,294.9,0,250,52.7,8.8,8.9,NA,NA
"24",1,1,-23,2020-09-14 01:00:00,34.883,-119.692,7,2020-09-15 00:00:00,33.901389,-118.205,10,963.7,298.4,295.2,0,250,51.4,8.8,8.9,NA,NA
"25",1,1,-24,2020-09-14 00:00:00,34.864,-119.847,6.6,2020-09-15 00:00:00,33.901389,-118.205,10,966.6,298.3,295.4,0,250,50.8,8.7,8.9,NA,NA
"26",1,1,-25,2020-09-13 23:00:00,34.846,-120.014,6.1,2020-09-15 00:00:00,33.901389,-118.205,10,970.6,297.5,295,0,250,53.2,8.9,9,NA,NA
"27",1,1,-26,2020-09-13 22:00:00,34.845,-120.168,5.6,2020-09-15 00:00:00,33.901389,-118.205,10,973.9,296.9,294.6,0,250,55.6,9,9.2,NA,NA
"28",1,1,-27,2020-09-13 21:00:00,34.859,-120.306,5.1,2020-09-15 00:00:00,33.901389,-118.205,10,976.7,296.3,294.3,0,250,57.4,9.1,9.3,NA,NA
"29",1,1,-28,2020-09-13 20:00:00,34.888,-120.429,4.7,2020-09-15 00:00:00,33.901389,-118.205,10,979,295.9,294.1,0,250,58.8,9.2,9.3,NA,NA
"30",1,1,-29,2020-09-13 19:00:00,34.929,-120.537,4.2,2020-09-15 00:00:00,33.901389,-118.205,10,981,295.6,293.9,0,250,59.7,9.2,9.4,NA,NA
"31",1,1,-30,2020-09-13 18:00:00,34.981,-120.632,3.8,2020-09-15 00:00:00,33.901389,-118.205,10,982.6,295.3,293.8,0,250,60.3,9.2,9.4,NA,NA
"32",1,1,-31,2020-09-13 17:00:00,35.04,-120.718,3.5,2020-09-15 00:00:00,33.901389,-118.205,10,982.9,294.6,293.1,0,251.1,63.3,9.3,9.4,NA,NA
"33",1,1,-32,2020-09-13 16:00:00,35.104,-120.799,3.2,2020-09-15 00:00:00,33.901389,-118.205,10,982.8,293.9,292.4,0,252.2,65.8,9.2,9.4,NA,NA
"34",1,1,-33,2020-09-13 15:00:00,35.172,-120.877,3,2020-09-15 00:00:00,33.901389,-118.205,10,982.7,293.3,291.8,0,252.7,67.9,9.2,9.3,NA,NA
"35",1,1,-34,2020-09-13 14:00:00,35.243,-120.952,2.8,2020-09-15 00:00:00,33.901389,-118.205,10,982.5,292.7,291.2,0,252.4,69.6,9.1,9.2,NA,NA
"36",1,1,-35,2020-09-13 13:00:00,35.319,-121.025,2.8,2020-09-15 00:00:00,33.901389,-118.205,10,982.3,292.2,290.6,0,251.5,71,8.9,9.1,NA,NA
"37",1,1,-36,2020-09-13 12:00:00,35.397,-121.096,2.7,2020-09-15 00:00:00,33.901389,-118.205,10,982,291.7,290.1,0,250,72,8.8,8.9,NA,NA
"38",1,1,-37,2020-09-13 11:00:00,35.477,-121.171,2.7,2020-09-15 00:00:00,33.901389,-118.205,10,982.3,291.6,290.1,0,250,73.2,8.9,9,NA,NA
"39",1,1,-38,2020-09-13 10:00:00,35.556,-121.257,2.7,2020-09-15 00:00:00,33.901389,-118.205,10,982.9,291.5,290,0,250,74.7,9,9.1,NA,NA
"40",1,1,-39,2020-09-13 09:00:00,35.635,-121.354,2.6,2020-09-15 00:00:00,33.901389,-118.205,10,983.9,291.3,289.9,0,250,76.3,9.1,9.3,NA,NA
"41",1,1,-40,2020-09-13 08:00:00,35.714,-121.463,2.5,2020-09-15 00:00:00,33.901389,-118.205,10,985.3,291.1,289.8,0,250,78.3,9.3,9.4,NA,NA
"42",2,1,0,2020-09-15 12:00:00,33.901,-118.205,10,2020-09-15 12:00:00,33.901389,-118.205,10,959.5,296.3,292.7,0,250,66.6,9.8,9.9,NA,NA
"43",2,1,-1,2020-09-15 11:00:00,33.964,-118.197,10.3,2020-09-15 12:00:00,33.901389,-118.205,10,957.8,296.6,292.9,0,250,65.8,9.8,9.9,NA,NA
"44",2,1,-2,2020-09-15 10:00:00,34.024,-118.199,10.6,2020-09-15 12:00:00,33.901389,-118.205,10,956.4,296.9,293,0,250,64.9,9.8,9.9,NA,NA
"45",2,1,-3,2020-09-15 09:00:00,34.081,-118.212,10.7,2020-09-15 12:00:00,33.901389,-118.205,10,955.2,297.2,293.2,0,250,64.2,9.8,9.9,NA,NA
