"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2009-08-27 00:00:00,34.137,-117.924,10,2009-08-27 00:00:00,34.1365,-117.92391,10,947.6,307,302.2,0,794.7,27.4,7.2,7.3,NA,NA
"2",1,1,-1,2009-08-26 23:00:00,34.122,-118.078,10.1,2009-08-27 00:00:00,34.1365,-117.92391,10,950.8,305.9,301.4,0,697.5,29.6,7.4,7.5,NA,NA
"3",1,1,-2,2009-08-26 22:00:00,34.118,-118.217,10.2,2009-08-27 00:00:00,34.1365,-117.92391,10,953.4,304.9,300.7,0,614.5,31.6,7.6,7.7,NA,NA
"4",1,1,-3,2009-08-26 21:00:00,34.124,-118.34,10.2,2009-08-27 00:00:00,34.1365,-117.92391,10,955.6,304,300,0,544.2,33.5,7.7,7.8,NA,NA
"5",1,1,-4,2009-08-26 20:00:00,34.139,-118.445,10.2,2009-08-27 00:00:00,34.1365,-117.92391,10,957.3,303.2,299.3,0,484,35.1,7.7,7.8,NA,NA
"6",1,1,-5,2009-08-26 19:00:00,34.161,-118.534,10.2,2009-08-27 00:00:00,34.1365,-117.92391,10,958.6,302.4,298.7,0,431.5,36.6,7.7,7.8,NA,NA
"7",1,1,-6,2009-08-26 18:00:00,34.189,-118.605,10.2,2009-08-27 00:00:00,34.1365,-117.92391,10,959.4,301.8,298.1,0,385,37.8,7.7,7.8,NA,NA
"8",1,1,-7,2009-08-26 17:00:00,34.223,-118.66,10.3,2009-08-27 00:00:00,34.1365,-117.92391,10,959.4,300.3,296.7,0,360.2,41.4,7.7,7.8,NA,NA
"9",1,1,-8,2009-08-26 16:00:00,34.266,-118.7,10.5,2009-08-27 00:00:00,34.1365,-117.92391,10,959,298.9,295.3,0,337.7,44.7,7.7,7.8,NA,NA
"10",1,1,-9,2009-08-26 15:00:00,34.314,-118.723,10.8,2009-08-27 00:00:00,34.1365,-117.92391,10,958.2,297.6,293.9,0,316.3,47.9,7.6,7.7,NA,NA
"11",1,1,-10,2009-08-26 14:00:00,34.368,-118.73,11.2,2009-08-27 00:00:00,34.1365,-117.92391,10,956.9,296.3,292.6,0,295.3,50.8,7.4,7.5,NA,NA
"12",1,1,-11,2009-08-26 13:00:00,34.427,-118.718,11.8,2009-08-27 00:00:00,34.1365,-117.92391,10,955.1,295.1,291.2,0,273.6,53.6,7.2,7.3,NA,NA
"13",1,1,-12,2009-08-26 12:00:00,34.49,-118.686,12.5,2009-08-27 00:00:00,34.1365,-117.92391,10,952.9,293.9,289.8,0,250,56.2,6.9,7,NA,NA
"14",1,1,-13,2009-08-26 11:00:00,34.555,-118.65,13.2,2009-08-27 00:00:00,34.1365,-117.92391,10,950.8,294.6,290.3,0,250,54.5,6.9,7,NA,NA
"15",1,1,-14,2009-08-26 10:00:00,34.617,-118.624,13.8,2009-08-27 00:00:00,34.1365,-117.92391,10,949,295.3,290.8,0,250,53,7,7.1,NA,NA
"16",1,1,-15,2009-08-26 09:00:00,34.676,-118.611,14.4,2009-08-27 00:00:00,34.1365,-117.92391,10,947.4,295.9,291.3,0,250,51.7,7,7.1,NA,NA
"17",1,1,-16,2009-08-26 08:00:00,34.734,-118.611,14.8,2009-08-27 00:00:00,34.1365,-117.92391,10,946.2,296.5,291.8,0,250,50.6,7.1,7.2,NA,NA
"18",1,1,-17,2009-08-26 07:00:00,34.789,-118.626,15.2,2009-08-27 00:00:00,34.1365,-117.92391,10,945.2,297.1,292.3,0,250,49.6,7.2,7.3,NA,NA
"19",1,1,-18,2009-08-26 06:00:00,34.844,-118.655,15.5,2009-08-27 00:00:00,34.1365,-117.92391,10,944.7,297.6,292.8,0,250,48.6,7.3,7.4,NA,NA
"20",1,1,-19,2009-08-26 05:00:00,34.889,-118.704,15.6,2009-08-27 00:00:00,34.1365,-117.92391,10,944.4,298.8,293.9,0,260.1,45.4,7.3,7.4,NA,NA
"21",1,1,-20,2009-08-26 04:00:00,34.918,-118.775,15.4,2009-08-27 00:00:00,34.1365,-117.92391,10,945,299.9,295.1,0,269.2,42.4,7.3,7.4,NA,NA
"22",1,1,-21,2009-08-26 03:00:00,34.932,-118.869,15,2009-08-27 00:00:00,34.1365,-117.92391,10,946.4,300.9,296.1,0,276.8,39.6,7.3,7.4,NA,NA
"23",1,1,-22,2009-08-26 02:00:00,34.934,-118.986,14.3,2009-08-27 00:00:00,34.1365,-117.92391,10,948.6,301.7,297.1,0,282,37.1,7.2,7.3,NA,NA
"24",1,1,-23,2009-08-26 01:00:00,34.927,-119.127,13.4,2009-08-27 00:00:00,34.1365,-117.92391,10,951.6,302.4,298.1,0,284.4,34.7,7.1,7.2,NA,NA
"25",1,1,-24,2009-08-26 00:00:00,34.914,-119.29,12.4,2009-08-27 00:00:00,34.1365,-117.92391,10,955.1,302.9,298.9,0,283.4,32.5,7,7.1,NA,NA
"26",1,1,-25,2009-08-25 23:00:00,34.908,-119.461,11.3,2009-08-27 00:00:00,34.1365,-117.92391,10,959.3,301.6,298,0,275.3,35.5,7.2,7.3,NA,NA
"27",1,1,-26,2009-08-25 22:00:00,34.916,-119.624,10.5,2009-08-27 00:00:00,34.1365,-117.92391,10,963,300.4,297.2,0,267.7,38.5,7.4,7.5,NA,NA
"28",1,1,-27,2009-08-25 21:00:00,34.938,-119.782,9.8,2009-08-27 00:00:00,34.1365,-117.92391,10,966.4,299.3,296.3,0,260.3,41.3,7.5,7.6,NA,NA
"29",1,1,-28,2009-08-25 20:00:00,34.973,-119.934,9.3,2009-08-27 00:00:00,34.1365,-117.92391,10,969.4,298.2,295.5,0,253.2,44.1,7.6,7.7,NA,NA
"30",1,1,-29,2009-08-25 19:00:00,35.02,-120.08,8.8,2009-08-27 00:00:00,34.1365,-117.92391,10,971.7,297.2,294.7,0,250,47.3,7.8,7.9,NA,NA
"31",1,1,-30,2009-08-25 18:00:00,35.077,-120.219,8.5,2009-08-27 00:00:00,34.1365,-117.92391,10,973.3,296.2,293.9,0,250,50.8,7.9,8,NA,NA
"32",1,1,-31,2009-08-25 17:00:00,35.143,-120.34,8.2,2009-08-27 00:00:00,34.1365,-117.92391,10,973.9,295.2,293,0,250,54,7.9,8,NA,NA
"33",1,1,-32,2009-08-25 16:00:00,35.217,-120.435,8,2009-08-27 00:00:00,34.1365,-117.92391,10,974,294.4,292.2,0,250,56.6,7.9,8,NA,NA
"34",1,1,-33,2009-08-25 15:00:00,35.297,-120.505,8,2009-08-27 00:00:00,34.1365,-117.92391,10,973.4,293.7,291.4,0,250,58.7,7.8,7.9,NA,NA
"35",1,1,-34,2009-08-25 14:00:00,35.381,-120.551,8.1,2009-08-27 00:00:00,34.1365,-117.92391,10,972.3,293.1,290.7,0,250,60.6,7.7,7.8,NA,NA
"36",1,1,-35,2009-08-25 13:00:00,35.468,-120.571,8.4,2009-08-27 00:00:00,34.1365,-117.92391,10,970.5,292.5,289.9,0,250,62.2,7.6,7.7,NA,NA
"37",1,1,-36,2009-08-25 12:00:00,35.556,-120.565,8.8,2009-08-27 00:00:00,34.1365,-117.92391,10,968.1,292,289.2,0,250,63.7,7.4,7.5,NA,NA
"38",1,1,-37,2009-08-25 11:00:00,35.641,-120.555,9.2,2009-08-27 00:00:00,34.1365,-117.92391,10,966,292.2,289.3,0,250,63.4,7.4,7.5,NA,NA
