"","run","receptor","hour_along","traj_dt","lat","lon","height","traj_dt_i","lat_i","lon_i","height_i","pressure","theta","air_temp","rainfall","mixdepth","rh","sp_humidity","h2o_mixrate","terr_msl","sun_flux"
"1",1,1,0,2020-12-04 00:00:00,33.86,-118.201,10,2020-12-04 00:00:00,33.859662,-118.200707,10,964.9,291.8,288.8,0,360.5,36.5,4.2,4.2,NA,NA
"2",1,1,-1,2020-12-03 23:00:00,33.88,-118.188,11.7,2020-12-04 00:00:00,33.859662,-118.200707,10,964.5,291.2,288.1,0,368.7,36.6,4,4,NA,NA
"3",1,1,-2,2020-12-03 22:00:00,33.904,-118.152,16.8,2020-12-04 00:00:00,33.859662,-118.200707,10,962.7,290.5,287.3,0,376.3,36.4,3.8,3.8,NA,NA
"4",1,1,-3,2020-12-03 21:00:00,33.931,-118.091,26.5,2020-12-04 00:00:00,33.859662,-118.200707,10,960,289.9,286.5,0,382.6,35.9,3.5,3.6,NA,NA
"5",1,1,-4,2020-12-03 20:00:00,33.961,-118.002,42.4,2020-12-04 00:00:00,33.859662,-118.200707,10,956.3,289.2,285.5,0,386.6,35,3.2,3.3,NA,NA
"6",1,1,-5,2020-12-03 19:00:00,33.991,-117.879,67,2020-12-04 00:00:00,33.859662,-118.200707,10,951.7,288.5,284.4,0,387.4,33.5,2.9,2.9,NA,NA
"7",1,1,-6,2020-12-03 18:00:00,34.02,-117.719,102.1,2020-12-04 00:00:00,33.859662,-118.200707,10,944.4,287.9,283.2,0,384.2,31.4,2.5,2.5,NA,NA
"8",1,1,-7,2020-12-03 17:00:00,34.051,-117.529,142.3,2020-12-04 00:00:00,33.859662,-118.200707,10,934.8,288.3,282.8,0,364,28.1,2.2,2.2,NA,NA
"9",1,1,-8,2020-12-03 16:00:00,34.089,-117.326,180.3,2020-12-04 00:00:00,33.859662,-118.200707,10,928.7,288.6,282.6,0,348.2,26.2,2.1,2.1,NA,NA
"10",1,1,-9,2020-12-03 15:00:00,34.139,-117.114,214.9,2020-12-04 00:00:00,33.859662,-118.200707,10,922.7,288.9,282.3,0,331.5,24.7,1.9,1.9,NA,NA
"11",1,1,-10,2020-12-03 14:00:00,34.201,-116.891,247.3,2020-12-04 00:00:00,33.859662,-118.200707,10,916.4,289.1,281.9,0,312.6,23.3,1.8,1.8,NA,NA
"12",1,1,-11,2020-12-03 13:00:00,34.274,-116.657,279,2020-12-04 00:00:00,33.859662,-118.200707,10,910.1,289.2,281.5,0,291.7,22.2,1.7,1.7,NA,NA
"13",1,1,-12,2020-12-03 12:00:00,34.36,-116.409,311.1,2020-12-04 00:00:00,33.859662,-118.200707,10,903.6,289.3,281,0,268.9,21.4,1.6,1.6,NA,NA
"14",1,1,-13,2020-12-03 11:00:00,34.458,-116.144,345.1,2020-12-04 00:00:00,33.859662,-118.200707,10,896.9,289.4,280.5,0,276.7,22.8,1.6,1.6,NA,NA
"15",1,1,-14,2020-12-03 10:00:00,34.569,-115.852,381.4,2020-12-04 00:00:00,33.859662,-118.200707,10,889.6,289.3,279.8,0,288.6,24.1,1.6,1.6,NA,NA
"16",1,1,-15,2020-12-03 09:00:00,34.696,-115.528,421.3,2020-12-04 00:00:00,33.859662,-118.200707,10,880.8,289.2,278.9,0,304.9,25.4,1.6,1.6,NA,NA
"17",1,1,-16,2020-12-03 08:00:00,34.84,-115.161,465.7,2020-12-04 00:00:00,33.859662,-118.200707,10,871.1,289,277.8,0,325.6,27.1,1.6,1.6,NA,NA
"18",1,1,-17,2020-12-03 07:00:00,34.999,-114.746,515.2,2020-12-04 00:00:00,33.859662,-118.200707,10,859.2,288.7,276.4,0,352.4,29.9,1.7,1.7,NA,NA
"19",1,1,-18,2020-12-03 06:00:00,35.165,-114.297,568.3,2020-12-04 00:00:00,33.859662,-118.200707,10,844.4,288.6,275,0,362.1,32.8,1.7,1.7,NA,NA
"20",1,1,-19,2020-12-03 05:00:00,35.336,-113.866,624.7,2020-12-04 00:00:00,33.859662,-118.200707,10,830.2,289.5,274.5,0,376.8,33.2,1.7,1.7,NA,NA
"21",1,1,-20,2020-12-03 04:00:00,35.509,-113.487,683.6,2020-12-04 00:00:00,33.859662,-118.200707,10,816.2,290.4,274,0,386.2,33.1,1.6,1.6,NA,NA
"22",1,1,-21,2020-12-03 03:00:00,35.688,-113.152,744.2,2020-12-04 00:00:00,33.859662,-118.200707,10,803.4,291.1,273.4,0,396.3,33.6,1.6,1.6,NA,NA
"23",1,1,-22,2020-12-03 02:00:00,35.869,-112.85,807.3,2020-12-04 00:00:00,33.859662,-118.200707,10,791.5,291.6,272.7,0,412.1,34.8,1.6,1.6,NA,NA
"24",1,1,-23,2020-12-03 01:00:00,36.051,-112.571,874.4,2020-12-04 00:00:00,33.859662,-118.200707,10,780.3,291.9,271.8,0,437.2,37.2,1.6,1.7,NA,NA
"25",1,1,-24,2020-12-03 00:00:00,36.232,-112.307,945.7,2020-12-04 00:00:00,33.859662,-118.200707,10,765.5,292,270.5,0,547.2,41.2,1.7,1.7,NA,NA
"26",1,1,-25,2020-12-02 23:00:00,36.408,-112.045,1022.3,2020-12-04 00:00:00,33.859662,-118.200707,10,749.7,291.9,268.7,0,608,45,1.7,1.7,NA,NA
"27",1,1,-26,2020-12-02 22:00:00,36.582,-111.779,1104.6,2020-12-04 00:00:00,33.859662,-118.200707,10,734.4,291.8,267.1,0,647.3,48.6,1.6,1.6,NA,NA
"28",1,1,-27,2020-12-02 21:00:00,36.755,-111.514,1194.5,2020-12-04 00:00:00,33.859662,-118.200707,10,719.2,291.8,265.5,0,669.8,52.5,1.6,1.6,NA,NA
"29",1,1,-28,2020-12-02 20:00:00,36.934,-111.254,1292.7,2020-12-04 00:00:00,33.859662,-118.200707,10,703.3,292,264,0,680.3,55.5,1.5,1.5,NA,NA
"30",1,1,-29,2020-12-02 19:00:00,37.128,-111.007,1399.7,2020-12-04 00:00:00,33.859662,-118.200707,10,687.3,292.4,262.6,0,684.5,58.3,1.5,1.5,NA,NA
"31",1,1,-30,2020-12-02 18:00:00,37.341,-110.777,1516.8,2020-12-04 00:00:00,33.859662,-118.200707,10,671.1,292.7,261.2,0,689.6,61.7,1.4,1.4,NA,NA
"32",1,1,-31,2020-12-02 17:00:00,37.582,-110.56,1644.9,2020-12-04 00:00:00,33.859662,-118.200707,10,655.3,293.5,260.1,0,652.9,62.4,1.4,1.4,NA,NA
"33",1,1,-32,2020-12-02 16:00:00,37.858,-110.354,1782.8,2020-12-04 00:00:00,33.859662,-118.200707,10,640.3,294.5,259.3,0,566,59.3,1.2,1.2,NA,NA
"34",1,1,-33,2020-12-02 15:00:00,38.177,-110.158,1925.5,2020-12-04 00:00:00,33.859662,-118.200707,10,625.6,295.4,258.3,0,473.7,55.6,1.1,1.1,NA,NA
"35",2,1,0,2020-12-04 12:00:00,33.86,-118.201,10,2020-12-04 12:00:00,33.859662,-118.200707,10,965.1,287.7,284.7,0,267.2,51,4.5,4.5,NA,NA
"36",2,1,-1,2020-12-04 11:00:00,33.963,-118.11,11.9,2020-12-04 12:00:00,33.859662,-118.200707,10,961.4,287.4,284.2,0,270.4,51.5,4.4,4.4,NA,NA
